PWM Signal Width,Thrust (pounds),RPM,Thrust (kg)
1100,-3.89,2869,-1.768181818
1110,-3.61,2987,-1.640909091
1120,-3.47,3110,-1.577272727
1130,-3.36,3061,-1.527272727
1140,-3.17,3057,-1.440909091
1150,-3.08,3184,-1.4
1160,-2.91,3810,-1.322727273
1170,-2.77,3841,-1.259090909
1180,-2.66,3771,-1.209090909
1190,-2.56,3690,-1.163636364
1200,-2.43,3631,-1.104545455
1210,-2.29,3571,-1.040909091
1220,-2.18,3497,-0.990909091
1230,-2.04,3411,-0.927272727
1240,-1.88,3321,-0.854545455
1250,-1.74,3241,-0.790909091
1260,-1.66,3141,-0.754545455
1270,-1.55,3071,-0.704545455
1280,-1.47,2960,-0.668181818
1290,-1.37,2871,-0.622727273
1300,-1.28,2771,-0.581818182
1310,-1.17,2653,-0.531818182
1320,-1.04,2531,-0.472727273
1330,-0.94,2430,-0.427272727
1340,-0.88,2311,-0.4
1350,-0.81,2201,-0.368181818
1360,-0.72,2090,-0.327272727
1370,-0.6,1961,-0.272727273
1380,-0.51,1831,-0.231818182
1390,-0.44,1711,-0.2
1400,-0.37,1586,-0.168181818
1410,-0.31,1440,-0.140909091
1420,-0.23,1278,-0.104545455
1430,-0.16,1113,-0.072727273
1440,-0.11,933,-0.05
1450,-0.07,644,-0.031818182
1460,-0.03,383,-0.013636364
1470,-0.02,178,-0.009090909
1480,0,0,0
1500,0,0,0
1510,0,0,0
1520,0,0,0
1530,0.02,120,0.009090909
1540,0.08,326,0.036363636
1550,0.14,565,0.063636364
1560,0.23,822,0.104545455
1570,0.32,1034,0.145454545
1580,0.43,1221,0.195454545
1590,0.56,1357,0.254545455
1600,0.68,1480,0.309090909
1610,0.81,1611,0.368181818
1620,0.95,1730,0.431818182
1630,1.06,1851,0.481818182
1640,1.2,1971,0.545454545
1650,1.35,2091,0.613636364
1660,1.51,2196,0.686363636
1670,1.62,2291,0.736363636
1680,1.77,2391,0.804545455
1690,1.94,2501,0.881818182
1700,2.12,2618,0.963636364
1710,2.33,2715,1.059090909
1720,2.49,2816,1.131818182
1730,2.61,2901,1.186363636
1740,2.76,2991,1.254545455
1750,2.87,3081,1.304545455
1760,3.05,3179,1.386363636
1770,3.28,3261,1.490909091
1780,3.47,3357,1.577272727
1790,3.64,3419,1.654545455
1800,3.8,3495,1.727272727
1810,4.01,3561,1.822727273
1820,4.31,3621,1.959090909
1830,4.5,3719,2.045454545
1840,4.62,3823,2.1
1850,4.8,3873,2.181818182
1860,4.98,3142,2.263636364
1870,5.11,2759,2.322727273
1880,5.32,2720,2.418181818
1890,5.47,2761,2.486363636
1900,5.54,2798,2.518181818
